video,numFrame
0Mn0gxECBLA,1887
0MtST08F2Xc,551
0MyaFtXcTKI,5446
0N8iIUS660o,3222
0NaL4it1TVk,4403
0NgQr2-AieQ,1768
0NrS_wVpo-o,3659
0O589B9zr84,3441
0OxOI3sAIrM,1929
0PLaN0hmMDY,7037
0PS48XWOsKA,1950
0PbmXOVIwGc,2057
0PmrImNqA2w,1624
0PnAEoMx-v0,2866
0PyY_iHBZHk,2622
0Q9RHSEFeMI,4989
0Q9lJXWwjFg,2797
0QDPpdms08g,2865
0QNcOwi5bu8,1007
0Qed9-9yp9Q,5237
0QjoAi4b1Lw,0
0QyHaXliXKs,4747
0RIc6mwDRaQ,3802
0RUMAGGab1k,3727
0RUs80IYF38,708
0RYLNnfWeBg,4209
0RZ5_8VD4vc,1194
0S0fNrI4oVs,2569
0SS16APU65E,2324
0SmA1cGocz4,5135
0T14tLwBafQ,1150
0T1FKHx3yOk,5692
0T7yANM5I5Y,552
0U7_h4uasNY,2879
0UR4hXxt68E,4986
0UTrTg3DF5g,2072
0UcBldDI0RA,4689
0Um-HgjcnXY,2745
0V8mzi_89Fw,3580
0VHUSC4YFT4,2592
0VVNybUx7DE,5622
0VklWRtiNyw,2691
0VoNAs7Ia0A,3921
0W11dYp51EM,4572
0WJX2A6PSnA,526
0WMReYXyDXs,2522
0WRxp0X0edY,4770
0WVkoTBmhA0,3845
0X0u_3xUBPE,5615
0X34KkUlCAI,2538
0XDH6N86K4k,3527
0XRZ2F5B7fQ,734
0XTAq_xvquw,4798
0Y7c4uPB1tE,6698
0YHCiC7IIg8,3836
0YPfoB84Fes,2579
0YQPGAsZPgY,4980
0Yb2EQlAEYM,2123
0ZHZ1ZqmT7s,208
0ZXc2fEDgg8,2076
0Z_mhRoqG2E,3245
0Zg-7EgFiC8,6542
0Zg9UgCp4a4,1645
0ZzKrBk1ac8,1715
0_-Q1zOC3Kw,1175
0_1BQPWzRiw,5606
0_9_HIvxNMw,5943
0_BvBpwDMpU,1426
0_GpcrCLdag,2016
0_IShglbOQ4,2360
0_PdI-5l62o,2067
0_ZLjaAEx5s,4911
0_xap_BBDrw,1435
0acEl97ZBME,3077
0al9HOh_jjA,1519
0bXzFAKRoBU,931
0bbL30qENMg,3028
0bjHe_5nACw,3733
0bosp4-pyTM,3463
0bzSBV3jHIY,4557
0cYB-WFrVxk,6718
0czF2CCgq6I,1410
0d7bz-Se1mU,2741
0dWysfs67aY,3489
0dZVZtTTgfk,5896
0dc-NU85piM,3432
0df62FHrMT0,587
0dgmG3h9RLA,1173
0dkIbKXXFzI,31
0dkIuFFlLRM,2269
0drl-yrfBAA,7068
0e-qdFlRmPU,4016
0e5zwJywyqk,3912
0e7-mNDgIXw,4883
0e7d39SwHCA,1479
0eR57IP6paM,5484
0ecdkXfxQUA,274
0fNBm46reNg,2667
0fsMeZoZzJI,1790
0fw8it7Gj7k,4888
0gA_3BAxtVM,5268
0gLAhptj34w,2747
0gf3AgK1YLY,1990
0gkxTQGR6zI,950
0gm_g4rYCic,3587
0gvD2pktxxw,5295
0gw1Qq3WRbU,3437
0gwhdJGq2eg,2981
0h45uztur-o,4296
0h4UT-2XTAw,4249
0hWGSkDnRHA,6248
0hdwFR5qWz4,5716
0hfKWxuVT5k,7103
0iIY3HLF3lU,2673
0iqx7o5WYW8,5476
0ivHmKR8cUw,2759
0ixNLmIRd30,2190
0ixULg-DK_4,218
0j9TxzwRr6E,4419
0jBwj0bfZ3Y,836
0jdSl5-lMpY,4342
0je8CeAJABY,1947
0jeq5CeP2P0,2432
0jrThYemNLs,1532
0jvbBtMIA8k,3362
0k0xNs8Zjb4,3490
0k6GFx2ZCg8,1171
0kTxTWwkY6k,1301
0k_JEcQzi2w,1514
0kfJ7Lu4tvo,5536
0kykNR9FUWU,2923
0lYwrXV1R3A,3651
0lbv0AE5gJQ,2303
0lzqfDIWXtw,2524
0m63LNVHP1U,4096
0mNZfG6CL74,5366
0n3VRoYYYGU,6950
0nPeqy-DA2E,5434
0p34rFNYj_M,2007
0p3JN4KJsUs,2913
0pGXfomqurw,3914
0pcrpO0Gd8M,4023
0pegrKSh4iw,4427
0pxONuRdIAY,4405
0q9yZPTBbus,2875
0qQvcJJekN8,750
0qTzoVjsMpQ,6762
0qoi1RmRMbQ,360
0r-_a6m5k-0,1396
0rDLcTmgzGQ,3351
0rDb-zfhH0E,6024
0rRk3C1yor8,5411
0rX2f0H3AaA,1995
0rr7iGHamw0,1800
0t49I3VyI0g,7040
0tJ7eW6TKKM,4769
0tqPeeUvNsE,5248
0uOMJSUza68,3246
0ufZs4e24Xs,1739
0uh3HP895OA,3939
0vCynjlkM5A,326
0vIFg1eE7Tw,5090
0vJfctL116Y,3549
0vQs3ztG7vg,1136
0vssmM38x-0,4055
0w-3O0ZOQFQ,2172
0w2XFd-Q9Eg,461
0w4OkBenR_k,4215
0w7cO4tscBc,2957
0wXKWpGzMJQ,1817
0wpStx2JuS4,2071
0wwx4wnHv-U,260
0x4TP4MPelY,2215
0x6ZV9Y8g_c,1296
0x7ZcIZffyg,3600
0xBP-TSsqb0,2819
0xJPQ1I8-e0,837
0xxl3iG3VKY,1164
0y4mO86t4Z0,4071
0yGGccaHMnI,1379
0y_5NIIvUzI,5069
0yi-nkwLEnI,3449
0ynXG7NB3fM,4656
0ys4fnsu9Jc,1931
0ysVELHeEyc,4961
0yy1Df51_QE,3337
0z7qHOca3D4,3459
0zXTrkgUj0U,1699
0z_dyY_89ys,2887
0zjA3KPnLK8,5404
0zrJtIM2XRA,6260
1-Ud-q4y1oc,2395
1-nEQf-TJPE,1663
10fX73-AXcg,4600
10uSu442cOE,3382
11p9goB2rm8,845
122b9bus5Bs,4001
12IrPzohRSw,3401
12Nafz_Yet4,4325
12qA1Z4EsUI,6268
12qgT1JASV4,4775
12sz7NMvyfI,2054
12v5k4Z8lAE,2774
134qxRztr2s,5054
134sVNOzn_w,3131
13Y47Uk_w1o,4495
13hdhdieZuc,1529
13ubLHzEW8A,5964
13vEnzRCKzo,3930
1494UwmvAJM,1259
14AnvDNV5BI,667
14X-i7vqXWU,6332
14dA-qLmNZo,1628
1517CiM5c0A,6389
15HUSdsIHxg,3502
15IRaGI4Ml0,5508
15Yf7NIDLtM,3880
15npAlupNU4,3659
15yU0R2MBQM,1743
16725zS5kVM,7084
16Jm2QATbtE,2090
16Mq9vM7Nck,1934
16T82DHJClA,2953
16ZtFro1khg,2259
16bJAOf1SJI,4794
16czjUF1AA4,2593
16g-sBraeKE,5397
173d8EtsIpE,5608
17ODXa4CEmI,3363
17nr8u_ze0o,1714
17zMW3rzlR4,2493
18QVPZgjy8w,3968
18k_K9cFFJg,5763
18qVzfQ9VAs,2119
18yZR3NDaXM,6468
1926p23ooUM,1832
19LxLS1_Yn0,1069
19SHLOheCmo,6930
19YCgLDhfoE,3178
19fGZFUE7yE,3362
1AEZ9fDDkz4,2361
1ASxtL1Brn4,879
1ATBCBUgflA,2040
1AZxtWKkRlo,5789
1AiQt87brik,2254
1Ao43T5yRjI,4550
1AxGiLSmGZo,0
1B3XsffrM4M,2884
1BUnQWRBpYg,6536
1BWF1U1dJ_w,2537
1BfYAuxv6Wk,1901
1BrN3RGFXDs,3440
1C0Ur7fen8s,1067
1Cdqwg7Giv4,5580
1Cf8TkmsbMU,4077
1Cg6rkv4lyk,1576
1Cv2YWq34ao,739
1D7iddqIIhM,379
1DmdX5QwqFI,3645
1Dpm9kvn3M8,1259
1DvNkSGk-JA,2018
1EzvfTeJjvw,0
1FFbrlvDQ7c,5880
1FKoT6uFsjY,5546
1FMjfLRpXwM,4254
1F_CSpL_4Dg,3720
1FlnQzPzS2Q,2022
1FxlkazrYaY,4750
1G3rv9ssDY4,3167
1G5cu1NvDFw,1292
1GQARL4coRo,3528
1GXQLnTalcg,3293
1GzrcmQ5Pcc,3841
1H2bRd91sZw,3596
1HOnhMOjDEg,1619
1HWajOhmPVg,794
1HjQpe8PiqA,3659
1HsdK9wc-ZU,1438
1ILXipBgbTs,1506
1IbkFHNA7fg,731
1IhbkbuDPpc,2583
1ItX1KBmkLE,1794
1J3lfO_RmoM,5590
1JEQbXJC85w,6710
1JHqxhajh60,2987
1JKgr3KfoHo,4958
1JeK3U_nUUc,4249
1KBpN4TKj8A,4861
1KKVWzCwRSA,3714
1KONAdZGdWU,6027
1KVxpHAC08g,4109
1L_4N307nBk,2787
1LdbczjQPII,4892
1LnkDmSaKg4,2095
1LrEiYVd3qg,5475
1MBVaveQDd8,3941
1MQkI4UafqE,2387
1NAlbF88oUI,1935
1NbXNvyT-rY,4237
1OJa2iiFxfk,6793
1OLKg-G9TDQ,3784
1OP64qG2v7I,2555
1Om21fCH1sI,901
1OmzECVyIww,1370
1PNjVTM0Zto,6953
1PQiq8zajCE,2610
1PTNnaEu8xo,4879
1P_BTFhNZFo,4221
1P_y_DLlg-E,786
1PpVSeE2BJ8,1445
1QIUV7WYKXg,247
1Q_042dyY_A,5186
1QdkjsSU44I,4619
1QjVfj0S8qQ,1879
1R25VGmqS9o,1007
1RJgvoFfbkI,2560
1RKExOpIGas,6447
1RMNLqb8OWI,4904
1RQ27XZKU1E,6804
1RQOgX36Z2E,5464
1RVu0qNtWCc,4094
1RYEOaCeV4k,5241
1SQAnbh_lcM,6712
1SXVKikAHdM,5386
1SdH6HFnOZA,3079
1Se1ZqCSQvk,3100
1SouLWwpbvU,3268
1SyJihd6LGI,3851
1T66cuSjizE,363
1TWdrO8cCxA,2071
1U0VxGw1cdA,869
1U8y7e22SQg,3523
1UIathRb404,3205
1UIhgxQXcfI,5389
1UQYk6ohuRE,5302
1UgjxeAPq_A,5368
1UqVaZCy8gU,978
1Uur858vdY8,768
1V0TqgcXSVk,3137
1VAugQRO05g,3295
1VBg21aaiKM,2908
1VDNFR3vQR4,1580
1VSqWp5DZiU,5233
1VemxWV-g8s,2113
1VmqefkNV_8,5152
1VwNfMlb4JU,878
1WR4jgFCqRw,2396
1WSFrupQzQI,1869
1WbHAVWplj8,652
1X4hgrBjw-U,1871
1XNHcfxTqW0,1399
1XQUDJhMcj8,3623
1Xav7gMRCOQ,1107
1XicledQXng,3627
1Xt1gZfZ2Rw,3839
1XtjXqqPvyQ,3464
1Y1pKGFm-pQ,981
1Y3BV0Awjuo,1666
1YGz5CQBflM,2465
1YU4MSK80cQ,478
1YWyQUYAyvs,946
1Z3mjpu1I2A,4575
1ZuUq5rVwPs,3790
1ZwVoNUvaAE,1693
1_4E-zSZrf4,2169
1_PiNdPt6RU,449
1_YFTTzzLrI,864
1a8PCm9e1YU,4052
1aCwFDS0j2A,2267
1aNOjjLWjxc,87
1aRRlW0k-_4,2331
1aT9uLUKuZc,1616
1abFB1HE4T8,2092
1bcm3LHTI_w,3236
1buoiCgXG1Q,680
1cCRZztswFA,5270
1cLxW-FhgpA,4349
1cU8sp05Bu0,1938
1cWWCiNIYnc,199
1cccnJAK7TI,1979
1d6FGbM4FRM,3157
1dDAcUliXrQ,4046
1dFLeGRT0NQ,4544
1dJy1bMOvuU,1686
1dM62Xpm9Ns,5604
1d_U_2HIPmY,1097
1dvrNvxw43Q,708
1ebIpLiTCvw,5535
1ekMEuW7HLE,4181
1epGZvRN3Fw,4812
1ezOsdHncXo,1996
1f8iBakydSI,411
1fF1OQtpctg,6408
1f_EQl4C700,6116
1fbU_MkV7NE,3081
1fmaEo3wzxg,5790
1fqn2LtVdKA,2877
1ftLLKrC81s,5506
1fyxOUEihAQ,3293
1gM0xfKN-Kc,6619
1gp-5iOIfVo,4065
1gradpCDbPU,1803
1hB5jVAhSDE,479
1hTqfvjis9E,1195
1hiyhNqakMI,2363
1iIG5D3jTk4,2882
1iP5k9jHBRU,1522
1iUkXSE73W0,1525
1imA9vLRd3k,4575
1ioKX0iuico,5307
1izVZnE0l7k,6247
1jPEEuKPfKs,2471
1jWMd8QaN5s,947
1jgsRbGzCls,4865
1jjsTfZS5DY,4319
1jl5qtS4mNQ,3551
1kMPW5huHWQ,1682
1kkc9hDshP4,6593
1krxpAYQVj0,2648
1kwIYXB4b8s,1832
1lagsBNqNe4,4902
1lu7Sbu3a6o,1847
1lwG-y_QCkc,3048
1mYtNMDFyXQ,2754
1maBC85X9WI,2735
1mksQqxFtv4,415
1nXLVjfupto,6869
1nltPeGC5ZQ,2537
1o-Fx2dGfpc,2331
1o9RGnujlkI,3910
1oM26-0yFcM,4401
1oMFr9eRKQE,1943
1oaJBEdY6ao,1176
1opIvQF0m_M,3478
1oyWMusaDTI,1847
1pOmOTz-bzk,1586
1p_HYu0EZAk,1362
1px5LTVIR3A,6719
1pzRdAVCrDU,2114
1q8BSnedfqA,3973
1qKXZ9fThTg,3920
1qO8Z8SnrhU,3779
1qU2CdUQbw0,5382
1qi8ZXUH_wY,2472
1r_WSe-AQKg,1810
1rdecGieY-M,4032
1rf7t4sYtIA,1067
1sA-lEbrgak,1751
1sCgzkVUuy0,1811
1sTTv-XC-RA,1400
1scjpxusQx0,5269
1sp7zRy1Rxo,3968
1stYB5_yR5k,4545
1t0yXLlX1XE,2539
1tEJRzqqalM,6926
1tRTSOnylOs,1029
1uC0xzyx4Bc,5297
1uYv7kTOfCE,3301
1uiEkwykOxo,4008
1vTHJMMPZN0,4605
1w9MbbXJZVs,2168
1wLF2M60OrI,2194
1wiGNX_S8ZU,3269
1wjnveHAhGE,3928
1wqSUOGmpBs,3883
1xBdquA6dx8,581
1xHdr8MWJOc,0
1xLtBuMxBDY,924
1xQTlp0hscs,7030
1xcFq3SkTKk,4392
1xtKGlUp4Vg,4147
1y2aqd5HQlU,1800
1y9s_l_DIEk,621
1yFs3I9ppBI,6952
1zEcIngghq4,6086
1zyyumIi0iQ,6968
2-AMrzL7V-U,3424
2-S2fehRKVc,116
2-SPZIF5lPY,4181
2-h36nfbFK8,5412
2-hF-v79XyQ,3563
2-xMWBQA7iM,2239
2-xPjKzp-Kk,6621
20i6YGSnt-c,1363
20ooSJixdyg,2263
21Pz1cjdd2I,4386
21biKVGaY1Y,4737
21krmbuT21s,1739
21qQL15lUNY,1957
224E-VtB4k4,5404
22IqnOqbTaE,473
22n4w0uferc,5675
23-lat1nVJg,251
231pbDe3uQc,269
23ApAC123aQ,4005
23KpderJKY4,2262
24NiBYgzKj0,3659
24_3cq6pPsI,6458
24vWSTx6N5M,603
259K1wC2IMk,3569
25Wxe9TQzY8,178
25dJIdZj6Xs,101
26KzUnEbTUs,3442
26U3SkeZU6M,905
26j3-w5G1fU,1436
26qGsfI9tZ8,1470
2768Mbhzllc,1249
27OICfYnvnk,128
27Pg4wHah2I,2801
27Xuhwv1mQ8,924
27e4y89XeyI,599
27uzQVdrvrk,2673
28Dgwq9xNx8,2867
28GYivx4lyk,91
28LdZLfdmMQ,5098
28P5f3p_32g,4182
28QW8P1x_LE,5774
28WDlVOgslg,4227
28_jzEjO7lM,3662
28rFeoIxM4M,2836
28wbI73IVvQ,2094
291szrilAVE,5568
29UfCoftDkA,1413
29Vrl0rJbSo,6419
29k1TypoU4w,2595
29kX1NaPGP0,2983
2AE847UXu3Q,1817
2AQg1DDVYHI,4817
2AcaLeBzcnY,4080
2AeQkiArbdk,1593
2AjyB3mCW_U,6799
2BQsHMTk_VQ,3567
2B_bp8h6gxc,2656
2CTWueZkvUg,4540
2C_YKYbhm3s,3020
2CegApogJd4,3735
2CfCDcCuOO4,2178
2CxYCq5kOZ4,5025
2D22fVcAcyo,6472
2DCHbuwZNSs,4137
2DCeEAz8iO8,4921
2DMOP9Fy91U,3977
2DTwoKZsLMo,4900
2DiyTT1vZG4,3809
2Dlfwnvz76Q,1934
2DtotlMv9Gg,1571
2DvHUEFc5VA,4783
2DvMNOas7jY,4078
2DwBXRhtX4s,1207
2ENwSfYEmNo,229
2EQMXueAmCA,815
2ESPauwYUnQ,755
2EfjOGiEeJs,2114
2EgLTpVOLys,1231
2ErgL7-MXHw,330
2FIQwmB362w,5220
2FKWKDEg5KE,6131
2FRMVhgxh40,3892
2FRzNpVz6f8,1410
2FcdD7WapJM,1689
2FjaU9wfxaU,4839
2GACaR0GdD8,3650
2GCNxOKMtBo,5807
2GEZgHcA7zU,2987
2GSSuYAWFc8,3767
